Timestamp,Power,Current,Class,
3/10/2022 12:34,3139.35,13.65,Overcurrent fault,
3/10/2022 12:35,3026.6,13.16,Overcurrent fault,
3/10/2022 12:36,3008.01,13.08,Overcurrent fault,
3/10/2022 12:37,2988.48,12.99,Overcurrent fault,
3/10/2022 12:38,2988.51,12.99,Overcurrent fault,
3/10/2022 12:39,2966.37,12.9,Overcurrent fault,
3/10/2022 12:40,2952.86,12.84,Overcurrent fault,
3/10/2022 12:41,2936.15,12.77,Overcurrent fault,
3/10/2022 12:42,2900.72,12.61,Overcurrent fault,
3/10/2022 12:43,2895.56,12.59,Overcurrent fault,
3/10/2022 12:44,2889.78,12.56,Overcurrent fault,
3/10/2022 12:45,2886.67,12.55,Overcurrent fault,
3/10/2022 12:46,2856.19,12.42,Overcurrent fault,
3/10/2022 12:47,2847.31,12.38,Overcurrent fault,
3/10/2022 12:48,2830.66,12.31,Overcurrent fault,
3/10/2022 12:49,2840.5,12.35,Overcurrent fault,
3/10/2022 12:50,2827.16,12.29,Overcurrent fault,
3/10/2022 12:51,2831.32,12.31,Overcurrent fault,
3/10/2022 12:52,2818.19,12.25,Overcurrent fault,
3/10/2022 12:53,2822.56,12.27,Overcurrent fault,
3/10/2022 12:54,2794.57,12.15,Overcurrent fault,
3/10/2022 12:55,2812.57,12.23,Overcurrent fault,
3/10/2022 12:56,2788.85,12.13,Overcurrent fault,
3/10/2022 12:57,2803.96,12.19,Overcurrent fault,
3/10/2022 12:58,2789.03,12.13,Overcurrent fault,
3/10/2022 12:59,2810.52,12.22,Overcurrent fault,
3/10/2022 13:00,2770.64,12.05,Overcurrent fault,
3/10/2022 13:01,2795.83,12.16,Overcurrent fault,
3/10/2022 13:02,2762.06,12.01,Overcurrent fault,
3/10/2022 13:03,2780.5,12.09,Overcurrent fault,
3/10/2022 13:04,2767.14,12.03,Overcurrent fault,
3/11/2022 11:00,2789.3,12.13,Overcurrent fault,
3/11/2022 11:01,2762.02,12.01,Overcurrent fault,
2022-03-11 11:02:002779.37,12.08,Overcurrent fault,,
3/11/2022 11:03,2752.28,11.97,,Running Smoothly
3/11/2022 11:04,2777.24,12.07,Overcurrent fault,
3/11/2022 11:05,2756.44,11.98,Running Smoothly,
3/11/2022 11:06,2774.4,12.06,Overcurrent fault,
3/11/2022 11:07,2752.24,11.97,Running Smoothly,
3/11/2022 11:08,2768.15,12.04,Overcurrent fault,
3/11/2022 11:09,2752.31,11.97,Running Smoothly,
3/11/2022 11:10,2764.88,12.02,Overcurrent fault,
3/11/2022 11:11,2755.12,11.98,Running Smoothly,
3/11/2022 11:12,2765.42,12.02,Overcurrent fault,
3/11/2022 11:13,2743.33,11.93,Running Smoothly,
3/11/2022 11:14,2754.69,11.98,Running Smoothly,
3/11/2022 11:15,2748.96,11.95,Running Smoothly,
3/11/2022 11:16,2759.89,12,Overcurrent fault,
3/11/2022 11:17,2743.78,11.93,Running Smoothly,
3/11/2022 11:18,2762.63,12.01,Overcurrent fault,
3/11/2022 11:19,2755.94,11.98,Running Smoothly,
3/11/2022 11:20,2753.15,11.97,Running Smoothly,
3/11/2022 11:21,2748.95,11.95,Running Smoothly,
3/11/2022 11:22,2759.26,12,Overcurrent fault,
3/11/2022 11:23,2738.25,11.91,Running Smoothly,
3/11/2022 11:24,2744.66,11.93,Running Smoothly,
3/11/2022 11:25,2744.77,11.93,Running Smoothly,
3/11/2022 11:26,2734.31,11.89,Running Smoothly,
3/11/2022 11:27,2736.93,11.9,Running Smoothly,
3/11/2022 11:28,2749.75,11.96,Running Smoothly,
3/11/2022 11:29,2746.4,11.94,Running Smoothly,
3/11/2022 11:30,2746.38,11.94,Running Smoothly,
3/11/2022 11:31,2754.24,11.97,Running Smoothly,
3/11/2022 11:32,2741.16,11.92,Running Smoothly,
3/11/2022 11:33,2751.98,11.97,Running Smoothly,
3/11/2022 11:34,2742.04,11.92,Running Smoothly,
3/11/2022 11:35,2766.32,12.03,Overcurrent fault,
3/11/2022 11:36,2737.09,11.9,Running Smoothly,
3/11/2022 11:37,2758.76,11.99,Overcurrent fault,
3/11/2022 11:38,2734.14,11.89,Running Smoothly,
3/11/2022 11:39,2750.47,11.96,Running Smoothly,
3/11/2022 11:40,2726.06,11.85,Running Smoothly,
3/11/2022 11:41,2750.77,11.96,Running Smoothly,
3/11/2022 11:42,2742.05,11.92,Running Smoothly,
3/11/2022 11:43,2738.64,11.91,Running Smoothly,
3/11/2022 11:44,2750.87,11.96,Running Smoothly,
3/14/2022 14:15,2743.74,11.93,Running Smoothly,
3/14/2022 14:16,2750.4,11.96,Running Smoothly,
3/14/2022 14:17,2739.94,11.91,Running Smoothly,
3/14/2022 11:18,2747.3,11.94,Running Smoothly,
3/14/2022 11:19,2743.21,11.93,Running Smoothly,
3/14/2022 11:20,2744.86,11.93,Running Smoothly,
3/14/2022 11:21,2737.72,11.9,Running Smoothly,
3/14/2022 11:22,2747.41,11.95,Running Smoothly,
3/14/2022 11:23,2751.02,11.96,Running Smoothly,
3/14/2022 11:24,2743.27,11.93,Running Smoothly,
3/14/2022 11:25,2753.13,11.97,Running Smoothly,
3/14/2022 11:26,2735.25,11.89,Running Smoothly,
3/14/2022 11:27,2760.26,12,Overcurrent fault,
3/14/2022 11:28,2732.35,11.88,Running Smoothly,
3/14/2022 11:29,2754.74,11.98,Running Smoothly,
3/14/2022 11:30,2743.08,11.93,Running Smoothly,
